AREA_TITLE,OCC_TITLE,H_MEDIAN,A_MEDIAN
California,"Grounds Maintenance Workers, All Other",22.84,"47,500"
California,Personal Care and Service Occupations,17.78,"36,980"
California,First-Line Supervisors of Gambling Services Workers,30.93,"64,340"
California,"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services",22.47,"46,730"
California,First-Line Supervisors of Personal Service Workers,24.41,"50,760"
California,Animal Trainers,21.12,"43,920"
California,Animal Caretakers,17.55,"36,490"
California,Gambling Dealers,15.86,"32,990"
California,Gambling and Sports Book Writers and Runners,17.47,"36,330"
California,"Gambling Service Workers, All Other",17.24,"35,850"
California,Motion Picture Projectionists,55.24,"114,910"
California,"Ushers, Lobby Attendants, and Ticket Takers",16.70,"34,740"
California,Amusement and Recreation Attendants,17.03,"35,430"
California,Costume Attendants,34.01,"70,740"
California,"Locker Room, Coatroom, and Dressing Room Attendants",19.07,"39,670"
California,"Entertainment Attendants and Related Workers, All Other",17.16,"35,690"
California,Embalmers,29.77,"61,910"
California,Crematory Operators,22.52,"46,840"
California,Funeral Attendants,18.98,"39,470"
California,"Morticians, Undertakers, and Funeral Arrangers",22.17,"46,120"
California,Barbers,17.29,"35,970"
California,"Hairdressers, Hairstylists, and Cosmetologists",17.87,"37,170"
California,"Makeup Artists, Theatrical and Performance",48.76,"101,420"
California,Manicurists and Pedicurists,16.62,"34,570"
California,Shampooers,17.25,"35,880"
California,Skincare Specialists,20.57,"42,780"
California,Baggage Porters and Bellhops,18.42,"38,310"
California,Concierges,19.54,"40,650"
California,Tour and Travel Guides,19.20,"39,930"
California,Childcare Workers,17.92,"37,270"
California,Exercise Trainers and Group Fitness Instructors,26.85,"55,840"
California,Recreation Workers,17.74,"36,900"
California,Residential Advisors,21.34,"44,390"
California,"Personal Care and Service Workers, All Other",18.58,"38,640"
California,Sales and Related Occupations,20.01,"41,620"
California,First-Line Supervisors of Retail Sales Workers,23.15,"48,140"
California,First-Line Supervisors of Non-Retail Sales Workers,40.86,"84,980"
California,Cashiers,16.92,"35,200"
California,Gambling Change Persons and Booth Cashiers,18.37,"38,220"
California,Counter and Rental Clerks,19.65,"40,870"
California,Parts Salespersons,18.74,"38,970"
California,Retail Salespersons,17.43,"36,240"
California,Advertising Sales Agents,30.46,"63,350"
California,Insurance Sales Agents,30.48,"63,400"
California,"Securities, Commodities, and Financial Services Sales Agents",36.65,"76,230"
California,Travel Agents,24.42,"50,790"
California,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",36.65,"76,230"
California,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",59.58,"123,930"
California,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",34.90,"72,580"
California,Demonstrators and Product Promoters,20.19,"42,000"
California,Models,23.12,"48,080"
California,Real Estate Brokers,36.27,"75,430"
California,Real Estate Sales Agents,30.17,"62,760"
California,Sales Engineers,63.97,"133,060"
California,Telemarketers,17.80,"37,020"
California,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",16.57,"34,470"
California,"Sales and Related Workers, All Other",24.35,"50,640"
California,Office and Administrative Support Occupations,23.77,"49,450"
California,First-Line Supervisors of Office and Administrative Support Workers,34.28,"71,300"
California,"Switchboard Operators, Including Answering Service",22.66,"47,130"
California,Telephone Operators,26.51,"55,140"
California,"Communications Equipment Operators, All Other",36.50,"75,910"
California,Bill and Account Collectors,23.28,"48,420"
California,Billing and Posting Clerks,24.19,"50,320"
California,"Bookkeeping, Accounting, and Auditing Clerks",25.95,"53,980"
California,Gambling Cage Workers,18.74,"38,990"
California,Payroll and Timekeeping Clerks,28.93,"60,170"
California,Procurement Clerks,24.37,"50,680"
California,Tellers,21.26,"44,210"
California,"Financial Clerks, All Other",25.29,"52,600"
California,Brokerage Clerks,30.94,"64,350"
California,Correspondence Clerks,22.36,"46,520"
California,"Court, Municipal, and License Clerks",28.51,"59,310"
California,"Credit Authorizers, Checkers, and Clerks",21.29,"44,280"
California,Customer Service Representatives,22.15,"46,070"
California,"Eligibility Interviewers, Government Programs",29.35,"61,050"
California,File Clerks,20.72,"43,090"
California,"Hotel, Motel, and Resort Desk Clerks",17.96,"37,360"
California,"Interviewers, Except Eligibility and Loan",23.47,"48,810"
California,"Library Assistants, Clerical",22.28,"46,340"
California,Loan Interviewers and Clerks,24.15,"50,240"
California,New Accounts Clerks,23.59,"49,060"
California,Order Clerks,21.30,"44,300"
California,"Human Resources Assistants, Except Payroll and Timekeeping",25.24,"52,500"
California,Receptionists and Information Clerks,18.95,"39,410"
California,Reservation and Transportation Ticket Agents and Travel Clerks,19.85,"41,290"
California,"Information and Record Clerks, All Other",25.66,"53,360"
California,Cargo and Freight Agents,24.74,"51,450"
California,Couriers and Messengers,19.74,"41,050"
California,Public Safety Telecommunicators,36.09,"75,070"
California,"Dispatchers, Except Police, Fire, and Ambulance",23.80,"49,500"
California,"Meter Readers, Utilities",32.84,"68,300"
California,Postal Service Clerks,29.62,"61,610"
California,Postal Service Mail Carriers,29.06,"60,440"
California,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",26.34,"54,790"
California,"Production, Planning, and Expediting Clerks",28.93,"60,180"
California,"Shipping, Receiving, and Inventory Clerks",20.40,"42,440"
